method_code	target_scope	target_name	amplicon_size	actual_length	source	status	accession
QT-EVE-GH-010	event-specific	MON88701	84	0		SKIPPED	EUginius
QT-EVE-GH-011	event-specific	DAS81910	120	0		SKIPPED	EUginius
QT-EVE-GH-012	event-specific	COT102	101	101	euginius_amplicon	OK_CLEAN	EUginius
QT-EVE-GH-013	event-specific	GHB811	144	0		SKIPPED	EUginius
QT-EVE-GM-001	event-specific	FG72	70	0		SKIPPED	EUginius
QT-EVE-GM-002	event-specific	MON87769	87	0		SKIPPED	EUginius
QT-EVE-GM-003	event-specific	MON87705	86	0		SKIPPED	EUginius
QT-EVE-GM-004	event-specific	A2704-12	64	0		SKIPPED	EUginius
QT-EVE-GM-005	event-specific	GTS 40-3-2	84	0		SKIPPED	EUginius
QT-EVE-GM-006	event-specific	MON89788	139	0		SKIPPED	EUginius
QT-EVE-GM-007	event-specific	A5547-127	75	0		SKIPPED	EUginius
QT-EVE-GM-008	event-specific	DP305423	93	0		SKIPPED	EUginius
QT-EVE-GM-009	event-specific	DP356043	99	0		SKIPPED	EUginius
QT-EVE-GM-010	event-specific	MON87701	89	0		SKIPPED	EUginius
QT-EVE-GM-011	event-specific	CV127	88	0		SKIPPED	EUginius
QT-EVE-GM-012	event-specific	MON87708	91	0		SKIPPED	EUginius
QT-EVE-GM-013	event-specific	DAS68416	130	0		SKIPPED	EUginius
QT-EVE-GM-014	event-specific	DAS81419	105	0		SKIPPED	EUginius
QT-EVE-GM-015	event-specific	DAS44406	99	0		SKIPPED	EUginius
QT-EVE-GM-016	event-specific	MON87751	87	0		SKIPPED	EUginius
QT-EVE-GM-017	event-specific	SYHT0H2	88	0		SKIPPED	EUginius
QT-EVE-GM-018	event-specific	GMB151	84	0		SKIPPED	EUginius
QT-EVE-GM-019	event-specific	DBN9004	89	0		SKIPPED	EUginius
QT-EVE-GM-020	event-specific	MON94313	70	0		SKIPPED	EUginius
QT-EVE-GM-021	event-specific	COR23134	80	0		SKIPPED	EUginius
QT-EVE-GM-022	event-specific	MON94637	84	0		SKIPPED	EUginius
QT-EVE-HF-1F/HF-2R	event-specific	Huafan No 1	228	228	euginius_amplicon	OK_CLEAN	EUginius
QT-EVE-OS-001	event-specific	Golden Rice 2	121	0		SKIPPED	EUginius
QT-EVE-OS-002	event-specific	LLRICE62	88	88	euginius_amplicon	OK_CLEAN	EUginius
